AddressId,Date,PowerPurchase
101,31.12.12,600
101,31.12.13,680
101,31.12.14,600
101,31.12.15,600
101,31.12.16,550
101,31.12.17,600
101,31.12.18,600
101,31.12.19,600
101,31.12.20,600
101,31.12.21,600
103,31.12.12,650
103,31.12.13,600
103,31.12.14,600
103,31.12.15,600
103,31.12.16,600
103,31.12.17,600
103,31.12.18,600
103,31.12.19,600
103,31.12.20,600
103,31.12.21,600
109,31.12.12,1000
109,31.12.13,1000
109,31.12.14,1000
109,31.12.15,1000
109,31.12.16,1000
109,31.12.17,1000
109,31.12.18,1000
109,31.12.19,200
109,31.12.20,200
109,31.12.21,200
110,31.12.12,600
110,31.12.13,600
110,31.12.14,600
110,31.12.15,600
110,31.12.16,100
110,31.12.17,100
110,31.12.18,0
110,31.12.19,0
110,31.12.20,0
110,31.12.21,0
